,Name,Name_no_underscore,Gender,Branches,Links,Main_character,Warehouse_worker,Community
54,Colin,Colin,Male,[],['Julius Erving'],0,0,4
55,Conan_O%27Brien,Conan O%27Brien,Unknown,[],['Michael Scott'],0,0,0
56,Concierge_Marie,Concierge Marie,Female,[],"['Michael Scott', 'Oscar Martinez', 'Andy Bernard']",0,0,4
57,Craig,Craig,Male,['Dunder Mifflin Albany'],['Jan Levinson'],0,0,6
58,Creed_Bratton,Creed Bratton,Male,['Dunder Mifflin Scranton'],"['Hannah Smoterich-Barr', 'Michael Scott', 'Oscar Martinez', 'Devon White', 'Holly Flax', 'Dwight Schrute', 'Toby Flenderson']",1,0,0
59,Cynthia,Cynthia,Female,[],"['Eric', 'Maurie', 'Megan', 'Stanley Hudson']",0,0,8
60,Dan_(Karen%27s_husband),Dan (Karen%27s husband),Male,[],['Karen Filippelli'],0,0,3
61,Dan_Gore,Dan Gore,Male,['Dunder Mifflin Buffalo'],"['David Wallace', 'Jan Levinson']",0,0,6
62,Daniel_Donnelly,Daniel Donnelly,Male,[],"['Dwight Schrute', 'Debby Donnelly']",0,0,5
63,Danny_Cordray,Danny Cordray,Male,['Dunder Mifflin Scranton'],"['Michael Scott', 'Steve Nash', 'Meredith Palmer', 'Karen Filippelli', 'Dwight Schrute', 'Jim Halpert']",0,0,0
64,Darryl_Philbin,Darryl Philbin,Male,['Dunder Mifflin Scranton'],"['Kelly Kapoor', 'Jada Philbin', 'Bob Vance', 'Michael Scott', 'Gwyneth Philbin', 'Andy Bernard', 'Val Johnson', 'Holly Flax', 'Dwight Schrute', 'Jan Levinson', 'Toby Flenderson']",1,1,4
65,David_Wallace,David Wallace,Male,['Dunder Mifflin Paper Company'],"['Rachel Wallace', 'Teddy Wallace', 'Karen Filippelli', 'Jim Halpert', 'Robert California', 'Pam Beesly', 'Craig', 'Ryan Howard', 'Michael Scott', 'Charles Miner', 'Oscar Martinez', 'Andy Bernard', 'Holly Flax', 'Dwight Schrute', 'Jan Levinson', 'Toby Flenderson']",0,0,3
66,Dawn_Tinsley,Dawn Tinsley,Female,[],"['Gareth Keenan', 'Pam Beesly', 'Tim Canterbury', 'Lee']",0,0,7
